实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
TEXT,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,2,,-603.851,292.789,,,,,,,,,,25,0,,,,,
LWPOLYLINE,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,,,,,,,,,,,,"(563.33, 260.568, 0, 0, 0); (603.33, 260.568, 0, 0, 0); (603.33, 285.568, 0, 0, 0)",否,,,,,,,
TEXT,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,2,,590.818,292.789,,,,,,,,,,25,0,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-7,515.652,-7,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,7,515.652,7,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-417.639,441.911,-142.4,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-446.98,441.329,-163.433,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-344.207,489.493,-38.397,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-373.365,488.626,-59.43,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-520.596,394.032,-267.436,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-491.43,394.887,-246.403,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-267.436,0,-246.403,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-163.433,0,-142.4,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-59.43,0,-38.397,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-372.015,489.493,-344.207,489.493,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-446.074,441.911,-417.639,441.911,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-519.265,394.887,-491.43,394.887,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,344.207,489.493,38.397,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,373.365,488.626,59.43,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,372.015,489.493,344.207,489.493,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,446.074,441.911,417.639,441.911,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,519.265,394.887,491.43,394.887,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,491.43,394.887,246.403,13.513,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,520.596,394.032,267.436,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,417.639,441.911,142.4,13.513,,,,,,,,,,,,
